site_id|site_name|road_name|corridor|latitude|longitude|region|is_active_in_data|notes|is_core
180|M1 Inbound - CH 21780||M1 Monash/West Gate Fwy|-37.9034908|145.1533104|Greater Melbourne|1||1
181|M1 Outbound - CH 21780||M1 Monash/West Gate Fwy|-37.9033233|145.1537608|Greater Melbourne|1||1
182|M1 Inbound - CH 22300||M1 Monash/West Gate Fwy|-37.9068330|145.1575367|Greater Melbourne|1||1
183|M1 Outbound - CH 22300||M1 Monash/West Gate Fwy|-37.9066045|145.1579420|Greater Melbourne|1||1
184|M1 Inbound - CH 22800||M1 Monash/West Gate Fwy|-37.9098490|145.1617320|Greater Melbourne|1||1
185|M1 Outbound - CH 22800||M1 Monash/West Gate Fwy|-37.9096430|145.1622010|Greater Melbourne|1||1
186|M1 Inbound - CH 23280||M1 Monash/West Gate Fwy|-37.9127982|145.1655249|Greater Melbourne|1||1
187|M1 Outbound - CH 23270||M1 Monash/West Gate Fwy|-37.9126180|145.1659931|Greater Melbourne|1||1
188|M1 Inbound - CH 23810||M1 Monash/West Gate Fwy|-37.9166217|145.1694704|Greater Melbourne|1||1
189|M1 Outbound - CH 23810||M1 Monash/West Gate Fwy|-37.9163753|145.1698399|Greater Melbourne|1||1
19|M1 Outbound - Before Heatherton Rd Exit Ramp||M1 Monash/West Gate Fwy|-37.9662820|145.2344360|Greater Melbourne|1||0
190|M1 Inbound - CH 24210||M1 Monash/West Gate Fwy|-37.9193811|145.1722786|Greater Melbourne|1||1
191|M1 Outbound - CH 24340||M1 Monash/West Gate Fwy|-37.9199560|145.1736570|Greater Melbourne|1||1
192|M1 Outbound - CH 24900||M1 Monash/West Gate Fwy|-37.9236050|145.1781470|Greater Melbourne|1||1
193|M1 Inbound - CH 24720||M1 Monash/West Gate Fwy|-37.9228170|145.1763850|Greater Melbourne|1||0
194|M1 Inbound - CH 25280||M1 Monash/West Gate Fwy|-37.9263840|145.1808583|Greater Melbourne|1||1
195|M1 Inbound - CH 25820||M1 Monash/West Gate Fwy|-37.9298777|145.1852458|Greater Melbourne|1||1
196|M1 Outbound - CH 25820||M1 Monash/West Gate Fwy|-37.9295730|145.1856170|Greater Melbourne|1||1
197|M1 Inbound - CH 26380||M1 Monash/West Gate Fwy|-37.9333573|145.1896036|Greater Melbourne|1||1
198|M1 Outbound - CH 26380||M1 Monash/West Gate Fwy|-37.9330757|145.1898917|Greater Melbourne|1||1
199|M1 Inbound - CH 26900||M1 Monash/West Gate Fwy|-37.9366070|145.1940020|Greater Melbourne|1||1
2|M1 IB west of Eastlink||M1 Monash/West Gate Fwy|-37.9437820|145.2026800|Greater Melbourne|1||1
20|M1 Inbound - Heatherton Rd Entry Ramp Bullnose||M1 Monash/West Gate Fwy|-37.9708190|145.2367050|Greater Melbourne|1||1
200|M1 Outbound - CH 26830||M1 Monash/West Gate Fwy|-37.9361304|145.1933413|Greater Melbourne|1||1
201|M1 Inbound - CH 27230||M1 Monash/West Gate Fwy|-37.9387110|145.1966280|Greater Melbourne|0||0
202|M1 Outbound - CH 27230||M1 Monash/West Gate Fwy|-37.9386520|145.1965870|Greater Melbourne|1||1
203|M1 Outbound - CH 27560||M1 Monash/West Gate Fwy|-37.9406704|145.1991831|Greater Melbourne|1||1
204|M1 Inbound - CH 27700||M1 Monash/West Gate Fwy|-37.9418230|145.2001880|Greater Melbourne|1||0
205|M1 PFW Inbound - Btwn Old Geelong Rd Offramp and Kororoit Creek Rd Offramp (NEB)||M1 Monash/West Gate Fwy|-37.8480840|144.7802910|Greater Melbourne|0||0
206|M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB)||M1 Monash/West Gate Fwy|-37.8482769|144.7809002|Greater Melbourne|0||0
207|M1 PFW Inbound - Btwn High St and Old Geelong Rd (NEB)||M1 Monash/West Gate Fwy|-37.8536870|144.7788040|Greater Melbourne|0||0
208|M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB)||M1 Monash/West Gate Fwy|-37.8537220|144.7793060|Greater Melbourne|0||0
209|M1 PFW Inbound - Btwn High St and Old Geelong Rd (NEB)||M1 Monash/West Gate Fwy|-37.8602520|144.7772460|Greater Melbourne|0||0
21|M1 Outbound - Heatherton Rd Exit Ramp||M1 Monash/West Gate Fwy|-37.9708170|145.2371400|Greater Melbourne|1||1
210|M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB)||M1 Monash/West Gate Fwy|-37.8602772|144.7776987|Greater Melbourne|0||0
211|M1 PFW Inbound - Btwn High St and Old Geelong Rd (NEB)||M1 Monash/West Gate Fwy|-37.8641877|144.7760828|Greater Melbourne|0||0
212|M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB)||M1 Monash/West Gate Fwy|-37.8643645|144.7765450|Greater Melbourne|0||0
213|M1 Inbound - CH 48683||M1 Monash/West Gate Fwy|-38.0634350|145.3718730|Greater Melbourne|1||1
214|M1 Outbound - CH 48630||M1 Monash/West Gate Fwy|-38.0632190|145.3720900|Greater Melbourne|1||1
215|M1 Inbound - CH 49145||M1 Monash/West Gate Fwy|-38.0662870|145.3762560|Greater Melbourne|1||1
216|M1 Outbound - CH 49145||M1 Monash/West Gate Fwy|-38.0660410|145.3765440|Greater Melbourne|1||1
217|M1 Outbound - CH 49768||M1 Monash/West Gate Fwy|-38.0690440|145.3824070|Greater Melbourne|1||1
218|M1 Outbound - CH 51095||M1 Monash/West Gate Fwy|-38.0733700|145.3963910|Greater Melbourne|0||0
219|M1 Outbound - CH 51794||M1 Monash/West Gate Fwy|-38.0745570|145.4041580|Greater Melbourne|1||1
22|M1 Inbound - Heatherton Rd Exit Ramp||M1 Monash/West Gate Fwy|-37.9749360|145.2378940|Greater Melbourne|1||1
220|M1 Outbound - CH 52296||M1 Monash/West Gate Fwy|-38.0753780|145.4099250|Greater Melbourne|1||1
221|M1 Outbound - CH 52918||M1 Monash/West Gate Fwy|-38.0763650|145.4168680|Greater Melbourne|1||1
222|M1 Outbound - CH 25400||M1 Monash/West Gate Fwy|-37.9268297|145.1820719|Greater Melbourne|1||1
223|M80 - WRR Kathryn St GB||M80 Ring Road|-37.6917429|144.9610151|Greater Melbourne|1||0
224|M80 - WRR Kathryn St AB||M80 Ring Road|-37.6919749|144.9610739|Greater Melbourne|0||0
225|M80 - WRR East of Kathryn St GB||M80 Ring Road|-37.6913860|144.9649160|Greater Melbourne|1||1
226|M80 - WRR East of Kathryn St AB||M80 Ring Road|-37.6917120|144.9649950|Greater Melbourne|1||1
227|M80 - WRR East of Mahoneys Rd GB||M80 Ring Road|-37.6908310|144.9697790|Greater Melbourne|1||0
228|M80 - WRR East of Mahoneys Rd AB||M80 Ring Road|-37.6911920|144.9698900|Greater Melbourne|0||0
229|M80 - WRR East of Merri Creek GB||M80 Ring Road|-37.6902170|144.9756150|Greater Melbourne|1||1
23|M1 Outbound - Heatherton Rd Entry Ramp||M1 Monash/West Gate Fwy|-37.9747510|145.2383850|Greater Melbourne|1||1
230|M80 - WRR East of Merri Creek AB||M80 Ring Road|-37.6905970|144.9756569|Greater Melbourne|1||1
231|M80 - WRR East of Industrial Ave GB||M80 Ring Road|-37.6896520|144.9814530|Greater Melbourne|1||0
232|M80 - WRR East of Industrial Ave AB||M80 Ring Road|-37.6899590|144.9814430|Greater Melbourne|0||0
233|M80 - WRR East of M31 overpass GB||M80 Ring Road|-37.6891230|144.9865600|Greater Melbourne|1||1
234|M80 - WRR East of M31 overpass AB||M80 Ring Road|-37.6894024|144.9868195|Greater Melbourne|1||1
235|M80 - WRR West of Blaxland Ave GB||M80 Ring Road|-37.6887080|144.9905380|Greater Melbourne|0||0
236|M80 - WRR West of Blaxland Ave AB||M80 Ring Road|-37.6889981|144.9906115|Greater Melbourne|1||1
237|M80 - WRR East of Blaxland Ave GB||M80 Ring Road|-37.6880090|144.9961900|Greater Melbourne|0||0
238|M80 - WRR East of Blaxland Ave AB||M80 Ring Road|-37.6883440|144.9962490|Greater Melbourne|0||0
239|M80 - WRR/Edgars Rd overpass GB||M80 Ring Road|-37.6870670|145.0018990|Greater Melbourne|1||1
24|M1 Inbound - Under Power Rd Overpass||M1 Monash/West Gate Fwy|-37.9780110|145.2405290|Greater Melbourne|1||1
240|M80 - WRR/Edgars Rd overpass AB||M80 Ring Road|-37.6873704|145.0019809|Greater Melbourne|1||1
241|Mountain Hwy NR Violen St (EB)||Other Metro Road|-37.8421020|145.2584920|Greater Melbourne|1||1
242|Mountain Hwy NR Violen St (WB)||Other Metro Road|-37.8423190|145.2587280|Greater Melbourne|1||1
243|Burwood Hwy (EB)||Other Metro Road|-37.8511690|145.1263910|Greater Melbourne|1||1
