site,site_description,latitude,longitude
124,Tullamarine FWY Outbound - English St exit ramp Bullnose (NB),-37.7270890000,144.890821000000
125,Tullamarine FWY Outbound - Before English St entry (NB),-37.7236330000,144.891608000000
126,Tullamarine FWY Inbound - After English St exit (SB),-37.7236350000,144.891609000000
127,Tullamarine FWY Outbound - After English St exit ramp (NB),-37.7205060000,144.891965000000
128,Tullamarine FWY Inbound - After Wirraway Rd On Ramp (SB),-37.7205210000,144.892175000000
129,Tullamarine FWY Inbound - Wirraway Rd On Ramp Bullnose (SB),-37.7167490000,144.892751000000
130,Tullamarine FWY Outbound - Before Wirraway Rd Overpass (NB),-37.7150620000,144.892107000000
131,Tullamarine FWY Inbound - After Wirraway Rd Exit (SB),-37.7139550000,144.892832000000
132,Tullamarine FWY Inbound - Before Wirraway Rd Exit (SB),-37.7113930000,144.891604000000
133,Tullamarine FWY Outbound - Before M80 Exit (NB),-37.7114440000,144.890892000000
134,Tullamarine FWY Inbound - After WRR Interchange (SB),-37.7069280000,144.890161000000
135,Tullamarine FWY Outbound - Before M80 Overpass (NB),-37.7067860000,144.889688000000
136,Tullamarine FWY Inbound - Before WRR Interchange (SB),-37.7029670000,144.889194000000
137,Tullamarine FWY Outbound - After M80 Interchange (NB),-37.7009450000,144.888096000000
138,Tullamarine FWY Inbound - Before WRR Interchange (SB),-37.6981090000,144.887559000000
139,Tullamarine FWY Outbound - After Carrick Dr (NB),-37.6981480000,144.887358000000
140,Tullamarine FWY Inbound - Before Carrick Dr (SB),-37.6950660000,144.885855000000
141,Tullamarine FWY Outbound - Before Mickleham Rd Exit (NB),-37.6951510000,144.885668000000
142,M1 Inbound - CH 15860,-37.8843464563,145.093451589500
143,M1 Outbound - CH 15860,-37.8839710000,145.093532000000
144,M1 Inbound - CH 16520,-37.8857851090,145.101075402400
145,M1 Outbound - CH 16520,-37.8853601637,145.101176602900
146,M1 Inbound - CH 17000,-37.8866006853,145.106398360900
147,M1 Outbound - CH 17000,-37.8861410000,145.106515000000
148,M1 Inbound - CH 17390,-37.8874305357,145.110677825400
149,M1 Outbound - CH 17390,-37.8870419506,145.110871615000
150,Tullamarine FWY Inbound - Mickleham Rd On Ramp (SB),-37.6925110000,144.883865000000
151,Tullamarine FWY Outbound - Mickleham Rd Exit Bullnose (NB),-37.6925820000,144.883715000000
152,Tullamarine FWY Inbound - Before Mickleham Rd (SB),-37.6885000000,144.880079000000
153,Tullamarine FWY Outbound - After Mickleham Rd Exit (NB),-37.6885460000,144.879796000000
154,Tullamarine FWY Inbound - Before Mickleham Rd Exit (SB),-37.6858860000,144.876797000000
155,Tullamarine FWY Outbound - After Mickleham Rd Exit (NB),-37.6861860000,144.876833000000
156,Tullamarine FWY Inbound - Before Mickleham Rd (SB),-37.6834220000,144.873701000000
157,Tullamarine FWY Outbound - Before Airport Long-Term (NB),-37.6836980000,144.873697000000
158,Tullamarine FWY Inbound - A1 Airport Parking (SB),-37.6805140000,144.869985000000
159,Tullamarine FWY Outbound - Before Terminal Dr (NB),-37.6805660000,144.869725000000
160,Tullamarine FWY Inbound - Apac Dr entry ramp bullnose (SB),-37.6772820000,144.864913000000
161,Tullamarine FWY Outbound - Before Terminal Dr Exit (NB),-37.6772870000,144.864478000000
162,Tullamarine FWY Outbound - After Terminal Dr Exit (NB),-37.6755420000,144.859121000000
163,Calder FWY Inbound - Before Green Gully Rd Underpass (SB),-37.7099010000,144.825318000000
164,M1 Monash Fwy - Between Huntingdale Rd and Forster Rd (EB),-37.8889761200,145.115127900000
165,M1 Monash Fwy - E of Huntingdale Rd (Nr Stanley Ave) (WB),-37.8899699200,145.115884200000
166,M1 Inbound - CH 18380,-37.8918053911,145.120413251000
167,M1 Outbound - CH 18380,-37.8913776577,145.120680704800
